;2010;;2011;;2012;;2013 (1);;;;;;
;"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";;;;;
Glicério;   58 543;    12790,62;   61 223;    13379,26;   73 813;    16095,25;   81 814;    17242,08;;;;;
Guaiçara;   127 283;    11927,92;   116 798;    10832,65;   108 566;    9968,44;   148 745;    13065,01;;;;;
Guaimbê;   54 478;    10041,96;   55 300;    10161,62;   45 120;    8266,74;   60 291;    10663,39;;;;;
Guaíra;  1 063 554;    28428,16;  1 150 599;    30585,59;  1 256 853;    33227,23;  1 564 447;    39793,63;;;;;
Guapiaçu;   238 995;    13362,86;   275 171;    15152,61;   294 489;    15969,23;   325 998;    16796,25;;;;;
Guapiara;   191 701;    10657,14;   212 637;    11901,77;   206 135;    11621,07;   339 191;    18709,88;;;;;
Guará;   281 041;    14148,28;   315 542;    15831,73;   395 617;    19779,88;   396 570;    19127,47;;;;;
Guaraçaí;   123 699;    14664,97;   177 852;    21172,87;   190 996;    22830,04;   181 560;    21146,09;;;;;
Guaraci;   189 919;    19037,56;   209 735;    20842,15;   205 761;    20277,97;   223 785;    21143,70;;;;;
Guarani d'Oeste;   17 638;    8957,70;   18 880;    9593,69;   24 212;    12321,75;   25 539;    12624,12;;;;;
Guarantã;   102 805;    16063,30;   101 398;    15816,21;   87 289;    13602,70;   113 643;    17143,27;;;;;
Guararapes;   585 798;    19143,73;   639 308;    20802,68;   698 327;    22627,40;   709 832;    22166,32;;;;;
Guararema;  1 137 113;    43970,17;  1 290 677;    49362,33;  1 305 379;    49373,25;  1 686 845;    60943,13;;;;;
Guaratinguetá;  2 877 329;    25669,58;  3 045 635;    27030,27;  3 408 988;    30099,32;  4 120 223;    35017,15;;;;;
Guareí;   145 612;    9995,35;   171 480;    11507,95;   165 524;    10871,88;   194 910;    12069,50;;;;;
Guariba;   629 917;    17748,64;   661 785;    18473,22;   675 939;    18697,65;   720 266;    19081,41;;;;;
Guarujá;  4 486 324;    15437,77;  5 064 750;    17300,95;  5 744 061;    19493,26;  6 746 390;    21997,93;;;;;
Guarulhos;  36 796 447;    30102,86;  40 340 068;    32705,44;  44 035 618;    35383,67;  49 392 842;    38016,46;;;;;
Guatapará;   136 019;    19526,17;   118 187;    16854,90;   101 282;    14354,00;   206 621;    28146,21;;;;;
Guzolândia;   43 414;    9132,18;   50 236;    10487,68;   46 782;    9697,67;   50 179;    9989,89;;;;;
Herculândia;   117 387;    13498,96;   141 512;    16170,95;   164 096;    18640,96;   179 962;    19659,35;;;;;
Holambra;   411 885;    36475,85;   475 051;    40906,80;   540 850;    45384,72;   603 033;    47456,78;;;;;
Hortolândia;  8 907 167;    46337,19;  9 242 091;    47207,47;  8 443 107;    42479,33;  9 202 710;    44002,84;;;;;
