"","Sigla","Codigo","Munic<U+00ED>pio","1991","2000"
"316","SP",3528007,"Macatuba",11.067,17.141
"317","SP",3528106,"Macaubal",26.543,17.054
"318","SP",3528205,"Maced<U+00F4>nia",41.346,20.455
"319","SP",3528304,"Magda",31.274,20.134
"320","SP",3528403,"Mairinque",8.55,16.787
"321","SP",3528502,"Mairipor<U+00E3>",14.252,17.93
"322","SP",3528601,"Manduri",25.494,16.937
"323","SP",3528700,"Marab<U+00E1> Paulista",42.267,37.411
"324","SP",3528809,"Maraca<U+00ED>",26.462,16.939
"325","SP",3528858,"Marapoama",26.312,16.724
"326","SP",3528908,"Mari<U+00E1>polis",48.314,26.974
"327","SP",3529005,"Mar<U+00ED>lia",12.073,11.532
"328","SP",3529104,"Marin<U+00F3>polis",38.962,24.449
"329","SP",3529203,"Martin<U+00F3>polis",32.406,26.165
"330","SP",3529302,"Mat<U+00E3>o",10.801,14.588
"331","SP",3529401,"Mau<U+00E1>",10.776,18.36
"332","SP",3529500,"Mendon<U+00E7>a",28.563,19.658
"333","SP",3529609,"Meridiano",49.307,20.128
"334","SP",3529658,"Mes<U+00F3>polis",54.541,29.609
"335","SP",3529708,"Miguel<U+00F3>polis",25.789,24.283
"336","SP",3529807,"Mineiros do Tiet<U+00EA>",12.657,9.918
"337","SP",3529906,"Miracatu",33.855,39.6
"338","SP",3530003,"Mira Estrela",40.539,22.736
"339","SP",3530102,"Mirand<U+00F3>polis",26.997,17.555
"340","SP",3530201,"Mirante do Paranapanema",42.559,43.343
"341","SP",3530300,"Mirassol",10.259,9.599
"342","SP",3530409,"Mirassol<U+00E2>ndia",25.114,24.491
"343","SP",3530508,"Mococa",22.832,16.051
"344","SP",3530607,"Moji das Cruzes",16.108,18.117
"345","SP",3530706,"Mogi Gua<U+00E7>u",10.289,11.448
"346","SP",3530805,"Moji-Mirim",8.993,9.058
"347","SP",3530904,"Mombuca",17.381,24.291
"348","SP",3531001,"Mon<U+00E7><U+00F5>es",28.852,21.071
"349","SP",3531100,"Mongagu<U+00E1>",23.146,25.193
"350","SP",3531209,"Monte Alegre do Sul",14.784,11.138
"351","SP",3531308,"Monte Alto",7.196,9.029
"352","SP",3531407,"Monte Apraz<U+00ED>vel",23.8,13.117
"353","SP",3531506,"Monte Azul Paulista",20.402,17.089
"354","SP",3531605,"Monte Castelo",44.44,28.05
"355","SP",3531704,"Monteiro Lobato",49.252,26.84
"356","SP",3531803,"Monte Mor",24.715,20.56
"357","SP",3531902,"Morro Agudo",16.583,16.634
"358","SP",3532009,"Morungaba",14.471,11.377
"359","SP",3532058,"Motuca",12.042,17.961
"360","SP",3532108,"Murutinga do Sul",34.306,22.18
"361","SP",3532157,"Nantes",40.33,28.54
"362","SP",3532207,"Narandiba",43.038,37.184
"363","SP",3532306,"Natividade da Serra",50.42,39.534
"364","SP",3532405,"Nazar<U+00E9> Paulista",34.944,30.309
"365","SP",3532504,"Neves Paulista",20.045,11.247
"366","SP",3532603,"Nhandeara",24.863,16.925
"367","SP",3532702,"Nipo<U+00E3>",26.157,19.013
"368","SP",3532801,"Nova Alian<U+00E7>a",19.792,16.564
"369","SP",3532827,"Nova Campina",66.532,51.238
"370","SP",3532843,"Nova Cana<U+00E3> Paulista",58.835,28.532
"371","SP",3532868,"Nova Castilho",40.108,26.507
"372","SP",3532900,"Nova Europa",9.966,13.218
"373","SP",3533007,"Nova Granada",18.813,15.6
"374","SP",3533106,"Nova Guataporanga",41.703,28.011
"375","SP",3533205,"Nova Independ<U+00EA>ncia",38.681,32.436
"376","SP",3533254,"Novais",19.147,26.108
"377","SP",3533304,"Nova Luzit<U+00E2>nia",29.832,23.325
"378","SP",3533403,"Nova Odessa",6.599,8.814
"379","SP",3533502,"Novo Horizonte",17.995,12.21
"380","SP",3533601,"Nuporanga",17.52,14.22
"381","SP",3533700,"Ocau<U+00E7>u",43.437,22.405
"382","SP",3533809,"<U+00D3>leo",35.576,26.214
"383","SP",3533908,"Ol<U+00ED>mpia",15.776,17.291
"384","SP",3534005,"Onda Verde",19.757,17.171
"385","SP",3534104,"Oriente",24.655,18.058
"386","SP",3534203,"Orindi<U+00FA>va",19.14,12.987
"387","SP",3534302,"Orl<U+00E2>ndia",9.593,10.249
"388","SP",3534401,"Osasco",9.472,12.844
"389","SP",3534500,"Oscar Bressane",27.183,17.917
"390","SP",3534609,"Osvaldo Cruz",28.14,13.911
"391","SP",3534708,"Ourinhos",16.032,14.485
"392","SP",3534757,"Ouroeste",37.959,20.655
"393","SP",3534807,"Ouro Verde",47.17,33.816
"394","SP",3534906,"Pacaembu",31.26,27.525
"395","SP",3535002,"Palestina",28.368,20.326
"396","SP",3535101,"Palmares Paulista",7.192,18.241
"397","SP",3535200,"Palmeira d'Oeste",36.562,19.935
"398","SP",3535309,"Palmital",26.241,19.431
"399","SP",3535408,"Panorama",29.951,22.592
"400","SP",3535507,"Paragua<U+00E7>u Paulista",22.595,25.818
"401","SP",3535606,"Paraibuna",41.087,24.702
"402","SP",3535705,"Para<U+00ED>so",13.354,18.087
"403","SP",3535804,"Paranapanema",31.83,27.735
"404","SP",3535903,"Paranapu<U+00E3>",40.222,21.846
"405","SP",3536000,"Parapu<U+00E3>",43.232,22.59
"406","SP",3536109,"Pardinho",23.229,18.113
"407","SP",3536208,"Pariquera-A<U+00E7>u",39.157,32.787
"408","SP",3536257,"Parisi",46.879,18.478
"409","SP",3536307,"Patroc<U+00ED>nio Paulista",21.543,16.413
"410","SP",3536406,"Paulic<U+00E9>ia",31.653,27.048
"411","SP",3536505,"Paul<U+00ED>nia",9.342,8.338
"412","SP",3536570,"Paulist<U+00E2>nia",35.877,20.95
"413","SP",3536604,"Paulo de Faria",24.759,25.841
"414","SP",3536703,"Pederneiras",16.433,15.686
"415","SP",3536802,"Pedra Bela",43.178,22.684
"416","SP",3536901,"Pedran<U+00F3>polis",36.182,22.417
"417","SP",3537008,"Pedregulho",28.039,23.291
"418","SP",3537107,"Pedreira",7.962,6.57
"419","SP",3537156,"Pedrinhas Paulista",15.753,16.79
"420","SP",3537206,"Pedro de Toledo",36.53,36.544
"421","SP",3537305,"Pen<U+00E1>polis",19.273,10.867
"422","SP",3537404,"Pereira Barreto",20.65,25.653
"423","SP",3537503,"Pereiras",23.438,16.219
"424","SP",3537602,"Peru<U+00ED>be",20.571,24.767
"425","SP",3537701,"Piacatu",35.594,19.146
"426","SP",3537800,"Piedade",27.48,26.73
"427","SP",3537909,"Pilar do Sul",27.641,28.108
"428","SP",3538006,"Pindamonhangaba",23.717,20.656
"429","SP",3538105,"Pindorama",14.325,13.155
"430","SP",3538204,"Pinhalzinho",23.409,16.937
"431","SP",3538303,"Piquerobi",42.917,29.925
"432","SP",3538501,"Piquete",24.94,19.702
"433","SP",3538600,"Piracaia",15.952,14.619
"434","SP",3538709,"Piracicaba",8.452,10.158
"435","SP",3538808,"Piraju",24.36,15.629
"436","SP",3538907,"Piraju<U+00ED>",33.675,18.531
"437","SP",3539004,"Pirangi",12.08,12.05
"438","SP",3539103,"Pirapora do Bom Jesus",27.715,25.233
"439","SP",3539202,"Pirapozinho",25.399,18.957
"440","SP",3539301,"Pirassununga",10.016,9.167
"441","SP",3539400,"Piratininga",24.133,13.75
"442","SP",3539509,"Pitangueiras",11.395,19.413
"443","SP",3539608,"Planalto",21.802,26.102
"444","SP",3539707,"Platina",41.637,26.931
"445","SP",3539806,"Po<U+00E1>",14.068,17.693
"446","SP",3539905,"Poloni",21.971,16.718
"447","SP",3540002,"Pomp<U+00E9>ia",26.316,10.738
"448","SP",3540101,"Ponga<U+00ED>",30.64,16.712
"449","SP",3540200,"Pontal",12.251,15.66
"450","SP",3540259,"Pontalinda",44.327,28.852
"451","SP",3540309,"Pontes Gestal",42.938,28.165
"452","SP",3540408,"Populina",34.091,23.961
"453","SP",3540507,"Porangaba",37.87,15.461
"454","SP",3540606,"Porto Feliz",15.099,12.116
"455","SP",3540705,"Porto Ferreira",10.466,11.138
"456","SP",3540754,"Potim",15.453,25.813
"457","SP",3540804,"Potirendaba",21.544,12.243
"458","SP",3540853,"Pracinha",49.799,33.882
"459","SP",3540903,"Prad<U+00F3>polis",7.647,13.842
"460","SP",3541000,"Praia Grande",15.325,16.747
"461","SP",3541059,"Prat<U+00E2>nia",29.539,20.844
"462","SP",3541109,"Presidente Alves",37.886,19.171
"463","SP",3541208,"Presidente Bernardes",29.407,25.107
"464","SP",3541307,"Presidente Epit<U+00E1>cio",32.027,21.207
"465","SP",3541406,"Presidente Prudente",12.509,11.976
"466","SP",3541505,"Presidente Venceslau",24.214,16.922
"467","SP",3541604,"Promiss<U+00E3>o",17.373,18.806
"468","SP",3541653,"Quadra",32.46,22.229
"469","SP",3541703,"Quat<U+00E1>",25.484,20.331
"470","SP",3541802,"Queiroz",45.991,31.427
"471","SP",3541901,"Queluz",41.439,34.131
"472","SP",3542008,"Quintana",34.582,24.836
"473","SP",3542107,"Rafard",7.611,9.655
"474","SP",3542206,"Rancharia",28.29,21.821
"475","SP",3542305,"Reden<U+00E7><U+00E3>o da Serra",50.858,37.425
"476","SP",3542404,"Regente Feij<U+00F3>",19.724,19.03
"477","SP",3542503,"Regin<U+00F3>polis",26.101,17.528
"478","SP",3542602,"Registro",35.113,32.82
"479","SP",3542701,"Restinga",26.271,21.528
"480","SP",3542800,"Ribeira",65.405,57.914
